route,viewport,state,sourcePath,stagingPath,differencePath,sourceWidth,sourceHeight,stagingWidth,stagingHeight,dimensionsEqual,changedPixels,totalPixels,changedPixelPercent,meanAbsoluteChannelDelta,channelDeltaThreshold,allowedChangedPixelPercent,evidenceComplete
"/services/","mobile","floating-actions","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\floating-actions.png","390","844","390","844","true","62652","329160","19.033904484141452","32.437726333697896","24","0.5","true"
"/about-us/","desktop","header-initial","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\about-us\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\about-us\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\about-us\header-initial.png","1440","171","1440","171","true","129748","246240","52.69168291098115","107.64187513536929","24","0.5","true"
"/about-us/","desktop","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\about-us\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\about-us\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\about-us\header-sticky.png","1440","100","1440","100","true","28749","144000","19.964583333333334","24.349770833333334","24","0.5","true"
"/about-us/","desktop","dropdown-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\about-us\dropdown-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\about-us\dropdown-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\about-us\dropdown-open.png","339","459","340","458","false","19311","156060","12.374086889657825","15.736567132299543","24","0.5","true"
"/about-us/","desktop","footer","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\about-us\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\about-us\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\about-us\footer.png","1440","774","1440","733","false","266838","1114560","23.9411068044789","38.30580498133793","24","0.5","true"
"/about-us/","desktop","floating-actions","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\about-us\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\about-us\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\about-us\floating-actions.png","1440","1000","1440","1000","true","559876","1440000","38.88027777777778","62.10808472222222","24","0.5","true"
"/about-us/","tablet","header-initial","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\about-us\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\about-us\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\about-us\header-initial.png","768","90","768","90","true","168","69120","0.24305555555555555","0.05573881172839506","24","0.5","true"
"/about-us/","tablet","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\about-us\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\about-us\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\about-us\header-sticky.png","768","90","768","90","true","168","69120","0.24305555555555555","0.05539641203703704","24","0.5","true"
"/about-us/","tablet","menu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\about-us\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\about-us\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\about-us\menu-open.png","768","1024","768","1024","true","192374","786432","24.46161905924479","15.07772488064236","24","0.5","true"
"/about-us/","tablet","submenu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\about-us\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\about-us\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\about-us\submenu-open.png","768","1024","768","1024","true","212035","786432","26.961644490559895","18.06108856201172","24","0.5","true"
